Num,Job,Mes1
1,All,식수가 필요해요. 
2,,배가 좀 고프네요. 
3,,물약이 필요해요. 
4,,기념품 같은 게 있을까요? 
5,,이제 날 곧 어두워지겠네요. 횃불 같은 게 있을까요? 
6,,제가 이 근방이 처음이라서요. 
11,Knight,목이 마르군. 물을 
12,,사냥을 하기 위해선 배가 충분히 불러야지. 음식이나 
13,,물약... 물약은 어디있지? 어서  
14,,이 조각 나쁘지 않군. 
15,,싸움은 낮보다 밤에 더 일어나지. 
16,,적들이 표시된 지도를 
17,,맨몸으로 적과 싸우는 것만큼 멍청한 짓이 없지. 쓸만한 걸로 
18,,단단해서 날이 들지 않는군. 
19,,회복 물약도 독을 치료할 수 있었으면 좋으려만.... 
21,Archer,목이 마르네요. 
22,,이 시기에는 숲에서 식량을 얻기 힘들어요. 
23,,숲에서는 어떤 공격을 받을 지 모르는 일이에요. 
24,,무엇을 본 따 만든 거죠? 재밌어 보이네요. 
25,,숲에서는 어둠을 상대할 수단이 필요하답니다. 
26,,정찰에 기본은 주변 지형을 아는 것이에요. 
27,,덫을 설치하는 입장에서 항상 해체하는 것도 가지고 다녀야죠. 
28,,의외로 많이들 걸린답니다. 동물이든... 뭐든 말이죠. 
29,,궁수의 기본 소양은 정찰 능력과 충분한 양의 화살이죠. 
31,Thief,"던전 속은 먼지로 가득하다고, 친구. "
32,,이게 간단하면서 간편한 식사지. 
33,,난 다른 돼지들과 다르게 한 대만 맞아도 죽을락말락하거든. 
34,,"말동무로 삼아볼까하는 데, "
35,,어둠 속에서 싸우는 멍청이가 또 있을까… 
36,,근방에 돈냄새가 나는 곳은 없나? 정보를 
37,,보물이 많은 곳에는 그만큼 지키는 것들도 많지. 
38,,기다려서 잡는 것도 일이다. 
39,,난 큰 무기랑 안맞아서 말이야. 
41,Healer,목을 축일 것이 
42,,양식이 
43,,어린 양을 지킬 수 있는 신의 피가 
44,,신의 인형이 
45,,null
46,,null
47,,악한자를 정화할 투명한 신의 눈물이 
48,,저희의 기도를 도와줄 물건이 
49,,신에 뜻대로 약한 자를 도와줄 게 
51,Noble,마실 것들을 
52,,배를 채울 것들을 
53,,상처를 치료할 물건을 
54,,이 조각들은 마음에 드는구나. 
55,,내가 가는 길이 어둡지 않느냐? 
56,,이 근방에 지리를 알고 싶구나. 
