Num,Job,Mes1
1,All,목이 갈라지는 기분이에요. 
2,,허기가 지네요. 
3,,요리하다 손을 베였어요. 
4,,이건 무엇을 표현한건가요? 재밌어보이네요. 
5,,밤은 역시 어두운걸요. 
6,,혹시 이 근방에 길도 알 수 있을까요? 
11,Knight,수분이 부족하군. 
12,,고기! 고기를 
13,,상처가 보이지 않느냐? 얼른 
14,,조각품이라... 일단 
15,,좀 어둡군. 그걸 
16,,이 근방에 지도가 있나? 그렇다면 
17,,검날이 너무 닳았군. 다른 녀석으로 
18,,날카로운 것보다는 둔탁한 걸로 
19,,따갑긴 해도 물약보다 이게 좋지. 
21,Archer,목을 축이고 싶어요. 
22,,숲에서 잡은 고기보다 맛있나요? 일단 
23,,숲에서는 어떤 공격을 받을 지 모르는 일이에요. 
24,,무엇을 본 따 만든 거죠? 재밌어 보이네요. 
25,,숲에서는 어둠을 상대할 수단이 필요하답니다. 
26,,정찰에 기본은 주변 지형을 아는 것이에요. 
27,,"저 같이 {우월한} 궁수는 덫을 발견하고 해체할 줄도 알아야합니다. 해체 도구가 있어야 하지만... 아무튼, "
28,,어디에 쓰냐고요? 동물을 잡기도... 사람을 잡기도.... 
29,,화살이 없는 건 칼날이 없는 것과 마찬가지입니다. 
31,Thief,목이 좀 칼칼한데 
32,,배가 고프군. 
33,,아무래도 이 일을 하면 상처가 많아진단 말이지. 
34,,오래 던전에 있다보면 말동무가 필요하거든. 
35,,지하는 어두운 곳이지. 
36,,옛 지도든 현재에 지도든 상관없다. 
37,,기껏 보물을 찾았는 데 잠겨 있으면 곤란하잖아? 
38,,어따 쓰냐고? 잡으려고 쓰지. 누군지 알려 줄 수 없지만... 
39,,좁은 곳에서는 큰 무기를 쓰지 못하거든. 
41,Healer,목을 축일 것이 
42,,양식이 
43,,어린 양을 지킬 수 있는 신의 피가 
44,,신의 인형이 
45,,null
46,,null
47,,악한자를 정화할 투명한 신의 눈물이 
48,,저희를 지켜줄 부적이 
49,,신의 가호를 받지 못한 자를 도와줄 게 
51,Noble,마실 것들을 
52,,배를 채울 것들을 
53,,상처를 치료할 물건을 
54,,이것은 무엇을 본 따 만들었지? 
55,,밝은 나의 길에 어둠이 끼려 하지 않느냐? 나의 길을 밝힐 수 있게 
56,,이 근방에 지리를 알고 싶구나. 
