Mes,WeekEvent
상쾌한 하루를 맞이합니다.,근처에 관광지가 생겨 판매가가 일시적으로 상승합니다.
상쾌한 하루를 맞이합니다.,오늘따라 재고들이 좋아보이는군요. 잠시나마 판매가를 올립시다.
상쾌한 하루를 맞이합니다.,돈의 신인 ParkWon 신의 가호가 내려왔습니다. 일시적으로 판매가가 오르겠군요.
상쾌한 하루를 맞이합니다.,배달 사업이 너무 많이 발달했군요. 일시적으로 매입가가 줄어듭니다.
상쾌한 하루를 맞이합니다.,원자재 값에 변화가 와서 잠시 매입가가 줄어듭니다.
상쾌한 하루를 맞이합니다.,상인 협회에서 지원금을 보내주었습니다.
상쾌한 하루를 맞이합니다.,근처에 던전이 생겨났습니다! 마을 주민과 귀족의 발길이 잠시 끊기겠네요.
상쾌한 하루를 맞이합니다.,시스템에 오류가 나서 노래 소리가 잠시동안 꺼집니다. ㅎㅎ
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
상쾌한 하루를 맞이합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
가게를 준비합니다.,
손님에게 필요한 물건을 팔아봅시다.,
손님에게 필요한 물건을 팔아봅시다.,
손님에게 필요한 물건을 팔아봅시다.,
손님에게 필요한 물건을 팔아봅시다.,
손님에게 필요한 물건을 팔아봅시다.,
손님에게 필요한 물건을 팔아봅시다.,
손님에게 필요한 물건을 팔아봅시다.,
손님에게 필요한 물건을 팔아봅시다.,
물품 재고는 미리 확인해야 합니다.,
물품 재고는 미리 확인해야 합니다.,
물품 재고는 미리 확인해야 합니다.,
물품 재고는 미리 확인해야 합니다.,
물품 재고는 미리 확인해야 합니다.,
물품 재고는 미리 확인해야 합니다.,
물품 재고는 미리 확인해야 합니다.,
물품 재고는 미리 확인해야 합니다.,
50일까지 남은 일수를 고민합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
쾌창한 아침을 맞이합니다.,
마피아도 잠자는 이른 아침입니다.,
하잇..! 아읏~1 -4ㅇㅇㅅ,
ㅇㅇㅅ 보고 싶다. 1-4ㅈㅅㅇ,
와....?샌즈! UNDERTELE 아시는구나! 1-2ㅇㅅㄱ,
꺼져 1-3ㄱㅁㅎ,
배달이 왔습니다.,
